DATE,TIME,実績(万kW)
2016/4/22,8:00,3074
2016/4/22,9:00,3298
2016/4/22,10:00,3366
2016/4/22,11:00,3353
2016/4/22,12:00,3179
2016/4/22,13:00,3387
2016/4/22,14:00,3424
2016/4/22,15:00,3376
2016/4/22,16:00,3350
2016/4/22,17:00,3300
2016/4/22,18:00,3361
2016/4/22,19:00,3247
2016/4/22,20:00,3095
2016/4/22,21:00,2955
2016/4/22,22:00,2866
2016/4/22,23:00,2693
2016/4/23,0:00,2496
2016/4/23,1:00,2371
2016/4/23,2:00,2337
2016/4/23,3:00,2333
2016/4/23,4:00,2330
2016/4/23,5:00,2341
2016/4/23,6:00,2385
2016/4/23,7:00,2515
2016/4/23,8:00,2708
2016/4/23,9:00,2903
2016/4/23,10:00,2966
2016/4/23,11:00,2963
2016/4/23,12:00,2909
2016/4/23,13:00,2951
2016/4/23,14:00,2950
2016/4/23,15:00,2925
2016/4/23,16:00,2939
2016/4/23,17:00,2987
2016/4/23,18:00,3136
2016/4/23,19:00,3086
2016/4/23,20:00,2973
2016/4/23,21:00,2801
2016/4/23,22:00,2655
2016/4/23,23:00,2488
2016/4/24,0:00,2306
2016/4/24,1:00,2209
2016/4/24,2:00,2190
2016/4/24,3:00,2187
2016/4/24,4:00,2165
2016/4/24,5:00,2170
2016/4/24,6:00,2185
2016/4/24,7:00,2335
2016/4/24,8:00,2560
2016/4/24,9:00,2722
2016/4/24,10:00,2771
2016/4/24,11:00,2746
2016/4/24,12:00,2689
2016/4/24,13:00,2669
2016/4/24,14:00,2670
2016/4/24,15:00,2667
2016/4/24,16:00,2723
2016/4/24,17:00,2849
2016/4/24,18:00,3039
2016/4/24,19:00,3019
2016/4/24,20:00,2917
2016/4/24,21:00,2762
2016/4/24,22:00,2580
2016/4/24,23:00,2402
2016/4/25,0:00,2245
2016/4/25,1:00,2157
2016/4/25,2:00,2156
2016/4/25,3:00,2186
2016/4/25,4:00,2241
2016/4/25,5:00,2318
2016/4/25,6:00,2506
2016/4/25,7:00,2714
2016/4/25,8:00,2953
2016/4/25,9:00,3143
2016/4/25,10:00,3195
2016/4/25,11:00,3235
2016/4/25,12:00,3150
2016/4/25,13:00,3332
2016/4/25,14:00,3355
2016/4/25,15:00,3314
2016/4/25,16:00,3325
2016/4/25,17:00,3285
2016/4/25,18:00,3365
2016/4/25,19:00,3262
2016/4/25,20:00,3109
2016/4/25,21:00,2967
2016/4/25,22:00,2892
2016/4/25,23:00,2720
2016/4/26,0:00,2528
2016/4/26,1:00,2411
2016/4/26,2:00,2399
2016/4/26,3:00,2419
2016/4/26,4:00,2455
2016/4/26,5:00,2496
2016/4/26,6:00,2651
2016/4/26,7:00,2851
2016/4/26,8:00,3084
2016/4/26,9:00,3324
2016/4/26,10:00,3398
2016/4/26,11:00,3440
2016/4/26,12:00,3282
2016/4/26,13:00,3430
2016/4/26,14:00,3456
2016/4/26,15:00,3434
2016/4/26,16:00,3435
2016/4/26,17:00,3358
2016/4/26,18:00,3416
2016/4/26,19:00,3340
2016/4/26,20:00,3168
2016/4/26,21:00,3025
2016/4/26,22:00,2917
2016/4/26,23:00,2742
2016/4/27,0:00,2522
2016/4/27,1:00,2402
2016/4/27,2:00,2380
2016/4/27,3:00,2404
2016/4/27,4:00,2440
2016/4/27,5:00,2464
2016/4/27,6:00,2627
2016/4/27,7:00,2855
2016/4/27,8:00,3106
2016/4/27,9:00,3357
2016/4/27,10:00,3398
2016/4/27,11:00,3426
2016/4/27,12:00,3260
2016/4/27,13:00,3400
2016/4/27,14:00,3387
2016/4/27,15:00,3376
2016/4/27,16:00,3387
2016/4/27,17:00,3361
2016/4/27,18:00,3397
2016/4/27,19:00,3297
2016/4/27,20:00,3128
2016/4/27,21:00,2979
2016/4/27,22:00,2864
2016/4/27,23:00,2680
2016/4/28,0:00,2503
2016/4/28,1:00,2389
2016/4/28,2:00,2369
2016/4/28,3:00,2398
2016/4/28,4:00,2426
2016/4/28,5:00,2507
2016/4/28,6:00,2710
2016/4/28,7:00,2939
2016/4/28,8:00,3189
2016/4/28,9:00,3427
2016/4/28,10:00,3477
2016/4/28,11:00,3481
2016/4/28,12:00,3299
2016/4/28,13:00,3429
2016/4/28,14:00,3415
2016/4/28,15:00,3369
2016/4/28,16:00,3368
2016/4/28,17:00,3323
2016/4/28,18:00,3356
2016/4/28,19:00,3238
2016/4/28,20:00,3075
2016/4/28,21:00,2920
2016/4/28,22:00,2844
2016/4/28,23:00,2663
2016/4/29,0:00,2476
2016/4/29,1:00,2357
2016/4/29,2:00,2327
2016/4/29,3:00,2334
2016/4/29,4:00,2333
2016/4/29,5:00,2305
2016/4/29,6:00,2336
2016/4/29,7:00,2458
2016/4/29,8:00,2623
2016/4/29,9:00,2776
2016/4/29,10:00,2850
2016/4/29,11:00,2851
2016/4/29,12:00,2790
2016/4/29,13:00,2786
2016/4/29,14:00,2796
2016/4/29,15:00,2793
2016/4/29,16:00,2810
2016/4/29,17:00,2828
2016/4/29,18:00,2999
2016/4/29,19:00,3041
2016/4/29,20:00,2947
2016/4/29,21:00,2796
2016/4/29,22:00,2653
2016/4/29,23:00,2487
2016/4/30,0:00,2305
2016/4/30,1:00,2198
2016/4/30,2:00,2182
2016/4/30,3:00,2188
2016/4/30,4:00,2207
2016/4/30,5:00,2209
2016/4/30,6:00,2276
2016/4/30,7:00,2394
2016/4/30,8:00,2579
2016/4/30,9:00,2731
2016/4/30,10:00,2765
2016/4/30,11:00,2753
2016/4/30,12:00,2723
2016/4/30,13:00,2746
2016/4/30,14:00,2753
2016/4/30,15:00,2734
2016/4/30,16:00,2745
2016/4/30,17:00,2766
2016/4/30,18:00,2923
2016/4/30,19:00,2955
2016/4/30,20:00,2841
2016/4/30,21:00,2694
2016/4/30,22:00,2543
2016/4/30,23:00,2385
2016/5/1,0:00,2222
2016/5/1,1:00,2113
2016/5/1,2:00,2102
2016/5/1,3:00,2114
2016/5/1,4:00,2116
2016/5/1,5:00,2087
2016/5/1,6:00,2115
2016/5/1,7:00,2169
2016/5/1,8:00,2312
2016/5/1,9:00,2432
2016/5/1,10:00,2461
2016/5/1,11:00,2542
2016/5/1,12:00,2550
2016/5/1,13:00,2539
2016/5/1,14:00,2578
2016/5/1,15:00,2589
2016/5/1,16:00,2601
2016/5/1,17:00,2684
2016/5/1,18:00,2861
2016/5/1,19:00,2863
2016/5/1,20:00,2748
2016/5/1,21:00,2598
2016/5/1,22:00,2433
2016/5/1,23:00,2271
2016/5/2,0:00,2119
2016/5/2,1:00,2038
2016/5/2,2:00,2041
2016/5/2,3:00,2070
2016/5/2,4:00,2103
2016/5/2,5:00,2142
2016/5/2,6:00,2285
2016/5/2,7:00,2468
2016/5/2,8:00,2688
2016/5/2,9:00,2830
2016/5/2,10:00,2900
2016/5/2,11:00,2956
2016/5/2,12:00,2931
2016/5/2,13:00,2978
2016/5/2,14:00,2987
2016/5/2,15:00,2953
2016/5/2,16:00,2973
2016/5/2,17:00,3008
2016/5/2,18:00,3099
2016/5/2,19:00,3054
2016/5/2,20:00,2885
2016/5/2,21:00,2710
2016/5/2,22:00,2618
2016/5/2,23:00,2442
2016/5/3,0:00,2229
2016/5/3,1:00,2124
2016/5/3,2:00,2112
2016/5/3,3:00,2122
2016/5/3,4:00,2129
2016/5/3,5:00,2097
2016/5/3,6:00,2136
2016/5/3,7:00,2215
2016/5/3,8:00,2382
2016/5/3,9:00,2520
2016/5/3,10:00,2550
2016/5/3,11:00,2586
2016/5/3,12:00,2603
2016/5/3,13:00,2642
2016/5/3,14:00,2625
2016/5/3,15:00,2578
2016/5/3,16:00,2603
2016/5/3,17:00,2692
2016/5/3,18:00,2853
2016/5/3,19:00,2835
2016/5/3,20:00,2734
2016/5/3,21:00,2600
